Extract_text,Category,Parent_Category
JAR,JAR,Investment
RD INSTALLMENT,RD INSTALLMENT,Investment
DC EMI LOAN,DC EMI LOAN,Card Loan
AAYUSHI,AAYUSHI SHOP,Grocery
JUICE,JUICE,Food
AIRTEL,AIRTEL,Communication
JIOFIBER,JIOFIBER,Communication
VEGETABLES,VEGETABLES,Grocery
COUNTRY DELIGHT,COUNTRY DELIGHT,Grocery
HUNGERBOX,HUNGERBOX,Food
KANI DEPARTMENTAL,KANI DEPARTMENTAL,Grocery
VODAFONE,VODAFONE,Communication
APPLESERVICES,APPLE SERVICES,Software
TIRUPATI CHEMIST,PHARMACY,Medical
LILAVATI CHEMIST,PHARMACY,Medical
PHARMACY,PHARMACY,Medical
DIAGNOST,DIAGNOSTIC,Medical
PANSARE,PANSARE,Food
DAIRY,DAIRY,Grocery
GAGAN PAN,PANSARE,Food
HAIR,HAIR,Salon
MYNTRA,MYNTRA,Clothes
FUNDS TRANSFER,FUNDS TRANSFER,Investment
EDUCATION LOAN,EDUCATION LOAN,Education Loan
PAYMENT ON CRED,PAYMENT ON CRED,Card Loan
MAKEMYTRIP,MAKE MY TRIP,Travel
ELECTRONICSCOMP,ELECTRONICSCOMP,Business
ATM,ATM,ATM
REVV,REVV,Travel
IKEA,IKEA,Home
OLA POSTPAID,OLA,Travel
UBER,UBER,Travel
BB DAILY,BB DAILY,Grocery
WINE,WINE,Food
HOTEL,HOTEL,Travel
OLAMONEY,OLA,Travel
OLAFINANCIAL,OLA,Travel
AUTOPAY SI,DC AUTOPAY,Others
REDBUS,REDBUS,Travel
IRCTC,IRCTC,Travel
ONESTOP,ONESTOP,Home
AWSP3,AWSP3,Others
NARESH PUROHIT,DAIRY,Grocery
TVS,TVS,Vehicle
TVS,TVS,Vehicle
CRED,CRED,Card
FOOD,FOOD,Food
RAJENDRA,RAJENDRA TRANSFER,Transfer
KOPAL,KOPAL TRANSFER,Transfer
SUMIT MOHAN,SUMIT SELF TRANSFER,Transfer